#This gives the snapshots and corresponding redshifts for TNG50-3, should hold for other TNG siulations as well.
#Assumes cosmology given used by TNG simulations to calculate these values.
snapshot,redshift,age(Gyr)
0,20.0464909888075,0.18039026325069685
1,14.9891732400424,0.27240919967909716
2,11.9802133153003,0.3723949321286564
3,10.9756432941379,0.42020190721622186
4,9.99659046618633,0.47752019678658975
5,9.38877127194055,0.5200078504814692
6,9.00233985416247,0.5504100734102205
7,8.44947629436874,0.599372864360438
8,8.01217294886593,0.6434800656930091
9,7.5951071498716,0.6908259534652119
10,7.23627606616736,0.7364011437717692
11,7.00541704554453,0.7684384131958788
12,6.4915977456675,0.8486994160340713
13,6.0107573988449,0.9373105578982268
14,5.84661374788187,0.9711417754036895
15,5.5297658079491,1.0424929144936412
16,5.22758097312734,1.1190562514360118
17,4.99593346816462,1.1843099751767614
18,4.66451770247093,1.2893393205885095
19,4.42803373660555,1.3741275631346483
20,4.17683491472647,1.4748266314489058
21,4.00794511146527,1.5496268816442342
22,3.70877426464224,1.6986188787299246
23,3.49086136926065,1.822760581483133
24,3.28303305795652,1.9558173697159764
25,3.00813107163038,2.1582299734385018
26,2.89578500572743,2.2511237855360338
27,2.73314261731872,2.397816135941346
28,2.57729027160189,2.5537848047012
29,2.44422570455415,2.700638740679784
30,2.31611074395689,2.855624615086578
31,2.2079254723837,2.998218508186109
32,2.10326965259577,3.1476119276150962
33,2.00202813925285,3.304080843020149
34,1.90408954353277,3.467905314850055
35,1.82268925262035,3.6143952561514707
36,1.74357057433086,3.766676659648982
37,1.66666955611447,3.9249292918628704
38,1.60423452207311,4.061497302220717
39,1.53123902915761,4.231162340465676
40,1.49551216649556,4.318412392647384
41,1.41409822037252,4.52841435462726
42,1.357576667403,4.684036388827943
43,1.30237845990597,4.84445229390674
44,1.24847261424514,5.009756284660989
45,1.206258080781,5.145580244034027
46,1.15460271236022,5.319909999652469
47,1.11415056376538,5.463066253608097
48,1.07445789454767,5.60954933833978
49,1.03551044566414,5.759398337472219
50,0.99729422578194,5.912650144021828
51,0.950531351585033,6.109052464899434
52,0.923000816177909,6.229497762677305
53,0.886896937575248,6.393154859083849
54,0.851470900624649,6.560336996257737
55,0.816709979011851,6.731067562499318
56,0.791068248946339,6.861456421051781
57,0.757441372615853,7.038443352776525
58,0.732636182022312,7.1735427051318315
59,0.700106353718523,7.356829675815207
60,0.676110411213478,7.496665140232726
61,0.644641840684537,7.6862765030614835
62,0.621428745242514,7.830858813837668
63,0.598543288187567,7.977474941586285
64,0.575980845107887,8.126122758067263
65,0.546392183141022,8.327474204928272
66,0.524565820433923,8.480847235118429
67,0.503047523244883,8.636235687039315
68,0.481832943420951,8.793631910060514
69,0.460917794180647,8.953026976205463
70,0.440297849247743,9.114410686680982
71,0.419968941997267,9.277771582098852
72,0.399926964613563,9.443096956392024
73,0.380167867260239,9.610372874403904
74,0.360687657261817,9.779584193105096
75,0.347853841858178,9.89345894708322
76,0.328829724205954,10.065859081748428
77,0.310074120127834,10.240148529863037
78,0.297717684517447,10.357381610401246
79,0.27335334657844,10.59431696689316
80,0.261343256161012,10.714006647739856
81,0.24354018155467,10.895050204067728
82,0.225988386260198,11.07788405987609
83,0.214425035514495,11.200756122883961
84,0.19728418237601,11.386520192600086
85,0.180385261705749,11.574008851466708
86,0.169252033243611,11.699946533421612
87,0.152748768902381,11.890251134548668
88,0.141876203969562,12.018041134834395
89,0.125759332411261,12.211085940994698
90,0.109869940458825,12.40573732747719
91,0.0994018026302219,12.536383251069166
92,0.0838844307974793,12.733647988411288
93,0.0736613846564387,12.866008930440708
94,0.058507322794513,13.065804864899404
95,0.0485236299818059,13.19982545582558
96,0.0337243718735154,13.402068747987968
97,0.0239744283827625,13.53769263829195
98,0.00952166696794476,13.742298192321494
99,0.0,13.879468335601246
